company_name,ticker,return_6m,volatility,avg_volume,up_ratio,cluster
Willis Towers Watson,WTW,-0.008956575160862568,0.014463711937366897,637131.5573770492,0.49586776859504134,0
Hewlett Packard Enterprise,HPE,-0.04750815090824401,0.03433969925246332,19371003.532786883,0.512396694214876,0
GE HealthCare,GEHC,-0.05498851747894873,0.027572642060504825,4130918.606557377,0.4793388429752066,0
Las Vegas Sands,LVS,-0.1280561122244489,0.02807109865030702,5915322.573770491,0.5041322314049587,0
DuPont,DD,-0.09068010075566757,0.026495026714148922,2939334.975409836,0.49586776859504134,0
Targa Resources,TRGP,-0.049054954659674355,0.027273691927834257,1997799.0573770492,0.5289256198347108,0
Lennar,LEN,-0.1496575105514426,0.021744948938295372,3187662.2213114756,0.49586776859504134,0
Ingersoll Rand,IR,-0.08108705258506399,0.022124117406528067,2909805.4672131147,0.48760330578512395,0
Kenvue,KVUE,-0.016447368421052655,0.017238991189284045,17124441.508196723,0.49586776859504134,0
Archer Daniels Midland,ADM,0.050975706889685446,0.020099509983145657,4166853.6639344264,0.4628099173553719,0
Kraft Heinz,KHC,-0.1608709782255443,0.01606478856418276,11516669.827868853,0.48760330578512395,0
Tractor Supply,TSCO,0.0074455899198166975,0.020304020772122424,5599438.163934426,0.5041322314049587,0
Old Dominion,ODFL,-0.07642405963694288,0.027664642303880858,1846826.4918032787,0.49586776859504134,0
Equifax,EFX,0.03281169115597504,0.02569029250644209,1049136.737704918,0.5041322314049587,0
Expedia Group,EXPE,-0.08983974531916039,0.03351536124152726,2197012.975409836,0.5041322314049587,0
HP Inc.,HPQ,-0.24668925161687705,0.026691131769569918,8497164.18852459,0.48760330578512395,0
Synchrony Financial,SYF,0.02283524904214551,0.030363175554260203,4271646.368852459,0.5371900826446281,0
Mettler Toledo,MTD,-0.03772997591703664,0.024993069975014798,179812.46721311475,0.5206611570247934,0
AvalonBay Communities,AVB,-0.06251439627769839,0.015914604209034563,812002.9262295082,0.49586776859504134,0
Dexcom,DXCM,0.11197452229299376,0.03000635668014785,4010334.5327868853,0.48760330578512395,0
General Mills,GIS,-0.184608120868744,0.01647022013049196,5561980.008196721,0.4628099173553719,0
"The Trade Desk, Inc.",TTD,-0.3885160961522127,0.05140204886571244,9398777.00819672,0.5041322314049587,0
PulteGroup,PHM,-0.020252694165737717,0.022748287376109677,2150529.5655737706,0.49586776859504134,0
International Paper,IP,-0.11907449209932275,0.02510400438267143,7043086.467213115,0.49586776859504134,0
First Solar,FSLR,-0.11224325628787479,0.045079075093757706,3977667.0,0.512396694214876,0
Constellation Brands,STZ,-0.269083883721975,0.0228932710859535,2513989.7786885244,0.4462809917355372,0
Ulta Beauty,ULTA,0.09008295274489697,0.02758589445559176,960276.606557377,0.48760330578512395,0
NetApp,NTAP,-0.08083160800552114,0.027972259032710854,2186791.975409836,0.5289256198347108,0
T. Rowe Price,TROW,-0.14925504716565285,0.021527203403052513,1854871.2540983607,0.49586776859504134,0
Williams-Sonoma,WSM,-0.12892561983471074,0.030824077865472557,2115138.9590163934,0.47107438016528924,0
Hubbell Incorporated,HUBB,-0.027572085049644035,0.02341591977264724,656492.8278688524,0.512396694214876,0
PPG Industries,PPG,-0.014468896205163784,0.022161654998589228,2132070.2786885244,0.49586776859504134,0
Dover Corporation,DOV,-0.012982115923292348,0.02020968010037703,1056711.3442622952,0.47107438016528924,0
Teradyne,TER,-0.2895069532237674,0.0369194175384187,3274297.8032786883,0.47107438016528924,0
Smurfit WestRock,SW,-0.1949626865671642,0.02652767310070047,3748277.9836065574,0.49586776859504134,0
Edison International,EIX,-0.3550806149231346,0.027721967998586974,4625698.352459016,0.512396694214876,0
Steel Dynamics,STLD,0.14366121683194844,0.02661785765297515,1718881.3524590165,0.49586776859504134,0
Biogen,BIIB,-0.16273333333333329,0.02050558572507498,1604621.9590163934,0.4793388429752066,0
"NVR, Inc.",NVR,-0.07562432023469667,0.018386640972982534,24484.10655737705,0.4628099173553719,0
Global Payments,GPN,-0.28471849865951737,0.02968589822598432,2929609.950819672,0.5041322314049587,0
Texas Pacific Land Corporation,TPL,-0.10481492780150481,0.03431866993051316,135256.19672131148,0.5537190082644629,0
Devon Energy,DVN,-0.04760479041916166,0.031858583286269504,9420660.827868853,0.5041322314049587,0
ON Semiconductor,ON,-0.15070491006319886,0.0429388116574749,10126727.360655738,0.49586776859504134,0
