Ticker,return_6m,volatility,avg_volume,up_ratio,early_return,mid_return,late_return,cluster
GE,0.3691011791165215,0.014263229446855109,5189748.062015504,0.6015625,0.19409017582917376,0.12559556050481535,0.054205389287474315,1
GEHC,0.005169412559987707,0.0169016100596872,3521829.4573643412,0.515625,0.035831957870582354,0.016728119258225815,-0.044980341146573344,3
GEN,-0.05862614395145427,0.01461409643993827,4169810.07751938,0.4453125,0.05422441021105384,-0.04731069853099301,-0.06838796562832627,3
GEV,0.33722144780457164,0.026023333765617194,2951634.108527132,0.53125,0.2964835354354054,0.08420114661813427,-0.058945195729820155,0
GILD,0.288697483399585,0.016910836282052102,7215372.868217054,0.5390625,0.12451707133086298,0.026009715240160824,0.11366465583486574,1
GIS,-0.08814006207245029,0.013289737767033235,5783601.550387597,0.46875,-0.04853650048934077,-0.01451580880051584,-0.02389056544735524,3
GL,0.10968162954903238,0.014464375295194709,602504.6511627907,0.546875,0.0074592603107332955,0.15838818850965386,-0.07517006729890086,1
GLW,0.76859689492407,0.019806024474986438,6449363.565891473,0.59375,0.1331322105668873,0.45795185522559234,0.07101886501615073,1
GM,0.4098099664561454,0.022264961850484804,8966792.248062015,0.53125,0.06041272248971152,0.10150703303405995,0.20074914341436645,1
GNRC,0.17664005273787287,0.029787625522858137,1054443.4108527133,0.5390625,0.14170109323986102,0.22619202534177663,-0.16592193549695766,0
GOOG,0.6639338319040331,0.016636837296286382,24081506.976744186,0.5859375,0.10299678665271506,0.36245107986065483,0.10858516798103368,1
GOOGL,0.6749842878965902,0.01707117431535286,36600612.40310077,0.578125,0.10776750728692996,0.36934654470902184,0.10772253842948643,2
GPC,0.04032541792238442,0.013869150561873763,1196200.7751937984,0.4765625,-0.005483215029083666,0.1386357561902829,-0.0859728072873952,3
GPN,-0.1033851464859975,0.022060060711226175,2528532.5581395347,0.4375,-0.002827816647898218,0.017989045619173805,-0.13169300603066325,3
GRMN,-0.024169075147279617,0.01776770102684369,871275.9689922481,0.5625,0.10575089255232428,0.0539329835717135,-0.17102224376792674,1
GS,0.30658492832434425,0.014207098489369902,2001040.3100775194,0.546875,0.1647370958259018,0.11885848671631316,-0.004167608069164275,1
GWW,-0.13010675220631507,0.014533164176670055,288664.3410852713,0.484375,-0.028191946917051847,-0.025593385977960903,-0.06966724795763946,3
HAL,0.30649479271020486,0.02479988253990053,13827613.178294573,0.5234375,0.00886592489581517,0.048711466030581185,0.2269662578454179,0
HAS,0.2146389343962214,0.014763197248668536,1974844.1860465116,0.5546875,0.17628366651537752,-0.02385168735073251,0.05127165867706385,1
HBAN,-0.0037670471886245283,0.014972588968029946,30640263.565891474,0.5078125,0.0444945718800307,0.026501820249085206,-0.1031927753030335,3
HCA,0.29092745546812293,0.014573822535156617,1381058.9147286823,0.59375,-0.011470302315906844,0.10442682736197861,0.1834296716519912,1
HD,-0.016441524518237993,0.01175018775943548,3452236.434108527,0.4375,-0.03537710588513421,0.18048411214521898,-0.1310312101880995,3
HIG,0.06959316596318588,0.011490097224757063,1509711.6279069767,0.5390625,-0.040472886825028476,0.06401982290175301,0.024493014592611884,1
HII,0.4227655200486953,0.01657394044467794,474093.0232558139,0.5546875,0.1445529809303734,0.07513763510170546,0.15235267953999387,1
HLT,0.06711729333686511,0.01310731823028823,1780419.3798449612,0.484375,0.08156680461085442,0.006681484497643497,0.012236814386894057,3
HOLX,0.339414752680004,0.01881947163236344,2776335.6589147286,0.515625,0.1535404607349411,-0.010777801440051249,0.0872434727842033,1
